date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:39:03	9829/9829	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/blog/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/blog/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:04	13596/13596	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/screenshots/sign-in.jpg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/screenshots/sign-in.jpg	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:04	9652/9652	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/dashboard/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/dashboard/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:04	2337/2337	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/signin/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/signin/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:04	105325/105325	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/screenshots/dashboard.jpg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/screenshots/dashboard.jpg	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:06	79037/79037	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/screenshots/justified-nav.jpg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/screenshots/justified-nav.jpg	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:06	4301/4301	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/justified-nav/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/justified-nav/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:06	2133/2133	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/sticky-footer/	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/sticky-footer/index.html	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:06	25002/25002	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/screenshots/sticky-footer.jpg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/screenshots/sticky-footer.jpg	(from https://getbootstrap.com/docs/3.3/getting-started/)
14:39:06	39249/39249	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20May%202018%2006:33:49%20GMT	https://getbootstrap.com/docs/3.3/examples/screenshots/sticky-footer-navbar.jpg	C:/Users/Walton/Desktop/fb/Bootstrap/getbootstrap.com/docs/3.3/examples/screenshots/sticky-footer-navbar.jpg	(from https://getbootstrap.com/docs/3.3/getting-started/)
